"system_id","system_public_name","site_id","site_public_name","site_location","site_latitude","site_longitude","site_elevation"
"4902","NIST_Ground_1","3197","s_NIST_G1","Gaithersburg MD","39.1319","-77.2141","138.0"
"4903","NIST_Roof_1","3198","s_NIST_R1","Gaithersburg MD","39.1354","-77.2156","149.0"
"4901","NIST_Canopy_1","3196","s_NIST_C1","Gaithersburg MD","39.1385","-77.2155","137.0"
"2","Residential 1a","1","Residential 1","Golden, CO","39.7214","-105.0972","1675.0"
"50","NREL x-Si 6","3","SERF East","Golden, CO","39.742","-105.1727","1994.7"
"1332","NREL Parking Garage","5","NREL Parking Garage","Golden, CO","39.7388","-105.1732","1770.0"
"33","Silicor Materials","11","NREL OTF Silicor","Golden, CO","39.7404","-105.1772","1794.0"
"3","Residential 1b","1","Residential 1","Golden, CO","39.7214","-105.0972","1675.0"
"3","Residential 1b","1","Residential 1","Golden, CO","39.7214","-105.0972","1675.0"
"51","NREL x-Si 7","4","SERF West","Golden, CO","39.7416","-105.1734","1994.7"
"1208","NREL Visitors Parking","9","NREL Visitors Parking","Golden, CO","39.7407","-105.1694","1780.0"
"2","Residential 1a","1","Residential 1","Golden, CO","39.7214","-105.0972","1675.0"
"1302","[1302] St. Petersburg Parks CDP - Mirror Lake Park MB","1284","[1302] St. Petersburg Parks CDP - Mirror Lake Park MB",,"27.7743","-82.6423","5.0"
"1296","[1296] St. Petersburg Parks CDP - Dell Holmes Park RB","1278","[1296] St. Petersburg Parks CDP - Dell Holmes Park RB",,"27.7427","-82.663","5.0"
"1432","[1432] NREL S and TF","1400","[1432] NREL S and TF",,"39.7422","-105.1719","1780.0"
"1423","[1423] RTC-NV-Baseline","1393","[1423] RTC-NV-Baseline",,"36.0275","-114.9215","697.0"
"1289","[1289] NREL CIGS-12","1273","[1289] NREL CIGS-12",,"39.7405","-105.1774","1793.7"
"1430","[1430] NREL Mesa 1-axis","1398","[1430] NREL Mesa 1-axis",,"39.7438","-105.1779","1831.0"
"36","[36] NREL low-X x-Si -1","42","[36] NREL low-X x-Si -1",,"39.704","-105.1773","1794.7"
"1256","Residential - NOLA -13 - District A South","1244","Residential - NOLA -13 - District A South",,"29.9288","-90.1273","10.0"
"1249","Residential - NOLA -6 - Jefferson Parish","1237","Residential - NOLA -6 - Jefferson Parish",,"29.9745","-90.1563","10.0"
"1259","Residential - NOLA -16 - District A North","1247","Residential - NOLA -16 - District A North",,"30.0017","-90.0926","10.0"
"1343","Residential - NOLA -10 - Net Meter - District A South","1324","Residential - NOLA -10 - Net Meter - District A South",,"29.951","-90.0812","10.0"
"1330","[1330] St. Petersburg Parks CDP - Science Center of Pinellas Cnty-Production Meter","1312","[1330] St. Petersburg Parks CDP - Science Center of Pinellas Cnty-Production Meter",,"27.7938","-82.7457","5.0"
"1339","Residential - NOLA -6 - Net Meter - Jefferson Parish","1320","Residential - NOLA -6 - Net Meter - Jefferson Parish",,"29.9745","-90.1563","10.0"
"1349","Residential - NOLA -16 - Net Meter - District A North","1330","Residential - NOLA -16 - Net Meter - District A North",,"30.0017","-90.0926","10.0"
"1351","Residential - NOLA -18 - Net Meter - District E","1332","Residential - NOLA -18 - Net Meter - District E",,"29.9809","-90.0023","10.0"
"1352","Residential - NOLA -19 - Net Meter - District E","1333","Residential - NOLA -19 - Net Meter - District E",,"29.9809","-90.0023","10.0"
"1274","[1274] Residential - NOLA -31 - District A North","1262","[1274] Residential - NOLA -31 - District A North",,"30.0017","-90.0926","10.0"
"1309","[1309] St. Petersburg Parks CDP - Walter Fuller Park Rec Center","1291","[1309] St. Petersburg Parks CDP - Walter Fuller Park Rec Center",,"27.7955","-82.7476","5.0"
"1277","[1277] Andre Agassi Preparatory Academy - Building C","1265","[1277] Andre Agassi Preparatory Academy - Building C",,"36.1952","-115.1582","620.0"
"1317","[1317] St. Petersburg Parks CDP - Azalea Park MB-Production Meter","1299","[1317] St. Petersburg Parks CDP - Azalea Park MB-Production Meter",,"27.7863","-82.7379","5.0"
"1356","Residential - NOLA -23 - Net Meter - District E","1337","Residential - NOLA -23 - Net Meter - District E",,"29.9809","-90.0023","10.0"
"1276","[1276] Andre Agassi Preparatory Academy - Building B","1264","[1276] Andre Agassi Preparatory Academy - Building B",,"36.1952","-115.1582","620.0"
"1418","[1418] Clark County-NV - Desert Breeze","1389","[1418] Clark County-NV - Desert Breeze",,"36.1253","-115.2713","779.0"
"35","[35] Andre Agassi Preparatory Academy - Gymnasium","41","[35] Andre Agassi Preparatory Academy - Gymnasium",,"36.1952","-115.1582","620.0"
"1270","Residential - NOLA -27 - District E","1258","Residential - NOLA -27 - District E",,"29.9809","-90.0023","10.0"
"1272","Residential - NOLA -29 - District B","1260","Residential - NOLA -29 - District B",,"29.951","-90.0812","10.0"
"1219","[1219] Mercury Solar Systems - Array 10","1210","[1219] Mercury Solar Systems - Array 10",,"40.995","-73.668","75.0"
"1354","Residential - NOLA -21 - Net Meter - District E","1335","Residential - NOLA -21 - Net Meter - District E",,"29.9809","-90.0023","10.0"
"1253","Residential - NOLA -10 - District A South","1241","Residential - NOLA -10 - District A South",,"29.951","-90.0812","10.0"
"1353","Residential - NOLA -20 - Net Meter - District E","1334","Residential - NOLA -20 - Net Meter - District E",,"29.9809","-90.0023","10.0"
"1358","Residential - NOLA -25 - Net Meter - District E","1339","Residential - NOLA -25 - Net Meter - District E",,"29.9809","-90.0023","10.0"
